state,postal,abbrev
Alabama,AL,Ala.
Alaska,AK,"Alas.,Alsk."
Arizona,AZ,Ariz.
Arkansas,AR,"Ark.,Ar. T."
California,CA,"C.F.,Calif.,Cal."
Colorado,CO,"C.L.,Colo.,Col."
Connecticut,CT,Conn.
Delaware,DE,"D.L.,Del."
Florida,FL,"Fla.,Flor."
Georgia,GA,Geo.
Hawaii,HI,"H.A.,Haw."
Idaho,ID,Ida.
Illinois,IL,"Ill.,Ills."
Indiana,IN,Ind.
Iowa,IA,Ioa.
Kansas,KS,"K.A.,Kans.,Kan."
Kentucky,KY,"Ken.,Kent."
Louisiana,LA,
Maine,ME,
Maryland,MD,"Mar.,Mary."
Massachusetts,MA,Mass.
Michigan,MI,"M.C.,Mich."
Minnesota,MN,Minn.
Mississippi,MS,Miss.
Missouri,MO,
Montana,MT,Mont.
Nebraska,NE,"N.B.,Nebr.,Neb."
Nevada,NV,Nev.
New Hampshire,NH,
New Jersey,NJ,N.Jersey
New Mexico,NM,"N. Mex.,New M."
New York,NY,N. York
North Carolina,NC,N. Car.
North Dakota,ND,"N. Dak.,No. Dak."
Ohio,OH,
Oklahoma,OK,Okla.
Oregon,OR,"Oreg.,Ore."
Pennsylvania,PA,"Penn.,Penna."
Rhode Island,RI,"P.P.,R. Isl."
South Carolina,SC,S. Car.
South Dakota,SD,"S. Dak.,So. Dak."
Tennessee,TN,Tenn.
Texas,TX,Tex.
Utah,UT,
Vermont,VT,
Virginia,VA,Virg.
Washington,WA,"W.N.,Wash."
West Virginia,WV,"W. Va.,W. Virg."
Wisconsin,WI,"W.S.,Wis.,Wisc."
Wyoming,WY,Wyo.
District of Columbia,DC,Wash. D.C.
American Samoa,AS,ASM
Guam,GU,GUM
Northern Mariana Islands,MP,"M.N.P.,C.M.,C.N.M.I."
Puerto Rico,PR,PRI
Virgin Islands,VI,"V.I.R.,U.S.V.I."
Minor Outlying Islands,UM,
