term_set,label,pattern,attr,replace
names,name_prefix,dr,lower,Dr.
names,name_prefix,dr.,lower,Dr.
names,name_prefix,mr,lower,Mr.
names,name_prefix,mr.,lower,Mr.
names,name_prefix,mrs,lower,Mrs.
names,name_prefix,mrs.,lower,Mrs.
names,name_prefix,miss,lower,Miss
names,name_prefix,doctor,lower,Dr.
names,name_suffix,filho,lower,
names,name_suffix,ii,lower,II
names,name_suffix,iii,lower,III
names,name_suffix,jr,lower,Jr.
names,name_suffix,jr.,lower,Jr.
names,name_suffix,sr,lower,Sr.
names,name_suffix,sr.,lower,Sr.
names,name_suffix,phd,lower,Ph.D.
names,name_suffix,phd.,lower,Ph.D.
